time,y,true_probs,laplace,k29_poly3,k29_rbf0.01,always_0.5,always_0,always_1
1,1,0.6764052345967664,0.5,0.5,0.5,0.5,0.0,1.0
2,1,0.5400157208367223,1.0,0.0,0.0,0.5,0.0,1.0
3,1,0.597873798410574,1.0,1.0,1.0,0.5,0.0,1.0
4,0,0.7240893199201458,1.0,1.0,1.0,0.5,0.0,1.0
5,1,0.6867557990149967,0.8,1.0,1.0,0.5,0.0,1.0
6,0,0.4022722120123589,0.8333333333333334,0.0,0.5,0.5,0.0,1.0
7,0,0.595008841752559,0.7142857142857143,0.259765625,0.7490234375,0.5,0.0,1.0
8,1,0.4848642791702302,0.625,0.1923828125,0.6240234375,0.5,0.0,1.0
9,0,0.4896781148206442,0.6666666666666666,0.14453125,0.5615234375,0.5,0.0,1.0
10,1,0.5410598501938373,0.6,0.341796875,0.591796875,0.5,0.0,1.0
11,1,0.5144043571160878,0.6363636363636364,0.2548828125,0.5751953125,0.5,0.0,1.0
12,1,0.6454273506962975,0.6666666666666666,0.4296875,0.58203125,0.5,0.0,1.0
13,1,0.5761037725146994,0.6923076923076923,0.6015625,0.587890625,0.5,0.0,1.0
14,1,0.5121675016492828,0.7142857142857143,0.7802734375,0.5947265625,0.5,0.0,1.0
15,1,0.5443863232745426,0.7333333333333333,0.9423828125,0.60546875,0.5,0.0,1.0
16,0,0.5333674327374267,0.75,1.0,0.6123046875,0.5,0.0,1.0
17,0,0.6494079073157606,0.7058823529411765,1.0,0.6171875,0.5,0.0,1.0
18,0,0.4794841736234199,0.6666666666666666,0.369140625,0.6103515625,0.5,0.0,1.0
19,1,0.5313067701650901,0.631578947368421,0.2998046875,0.6025390625,0.5,0.0,1.0
20,0,0.4145904260698275,0.65,0.2470703125,0.5947265625,0.5,0.0,1.0
21,1,0.2447010184165921,0.6190476190476191,0.3720703125,0.599609375,0.5,0.0,1.0
22,1,0.5653618595440361,0.6363636363636364,0.3037109375,0.59375,0.5,0.0,1.0
23,0,0.5864436198859506,0.6521739130434783,0.4228515625,0.5966796875,0.5,0.0,1.0
24,1,0.4257834979593558,0.625,0.5380859375,0.6005859375,0.5,0.0,1.0
25,0,0.7269754623987608,0.64,0.4169921875,0.595703125,0.5,0.0,1.0
26,1,0.3545634325401235,0.6153846153846154,0.529296875,0.5986328125,0.5,0.0,1.0
27,1,0.5045758517301446,0.6296296296296297,0.4150390625,0.5947265625,0.5,0.0,1.0
28,0,0.4812816149974166,0.6428571428571429,0.5234375,0.59765625,0.5,0.0,1.0
29,0,0.6532779214358457,0.6206896551724138,0.6328125,0.599609375,0.5,0.0,1.0
30,1,0.6469358769900285,0.6,0.47265625,0.595703125,0.5,0.0,1.0
31,1,0.5154947425696916,0.6129032258064516,0.384765625,0.5927734375,0.5,0.0,1.0
32,0,0.5378162519602173,0.625,0.48828125,0.5947265625,0.5,0.0,1.0
33,1,0.4112214252369887,0.6060606060606061,0.5908203125,0.5966796875,0.5,0.0,1.0
34,0,0.3019203531776073,0.6176470588235294,0.4599609375,0.59375,0.5,0.0,1.0
35,1,0.4652087850673847,0.6,0.5595703125,0.595703125,0.5,0.0,1.0
36,0,0.515634896910398,0.6111111111111112,0.4443359375,0.5927734375,0.5,0.0,1.0
37,1,0.6230290680727721,0.5945945945945946,0.5419921875,0.5947265625,0.5,0.0,1.0
38,1,0.6202379848784412,0.6052631578947368,0.4365234375,0.591796875,0.5,0.0,1.0
39,0,0.4612673182592047,0.6153846153846154,0.5322265625,0.59375,0.5,0.0,1.0
40,1,0.4697697249424664,0.6,0.6279296875,0.595703125,0.5,0.0,1.0
41,1,0.3951447034932907,0.6097560975609756,0.4873046875,0.5927734375,0.5,0.0,1.0
42,0,0.3579982062821024,0.6190476190476191,0.580078125,0.5947265625,0.5,0.0,1.0
43,0,0.3293729809374987,0.6046511627906976,0.6728515625,0.5966796875,0.5,0.0,1.0
44,1,0.695077539523179,0.5909090909090909,0.5126953125,0.59375,0.5,0.0,1.0
45,0,0.4490347818248346,0.6,0.4248046875,0.591796875,0.5,0.0,1.0
46,1,0.4561925698388813,0.5869565217391305,0.513671875,0.59375,0.5,0.0,1.0
47,0,0.3747204639950073,0.5957446808510638,0.4267578125,0.5908203125,0.5,0.0,1.0
48,1,0.577749035583191,0.5833333333333334,0.513671875,0.5927734375,0.5,0.0,1.0
49,0,0.3386102152442048,0.5918367346938775,0.427734375,0.58984375,0.5,0.0,1.0
50,0,0.4787259719786031,0.58,0.513671875,0.591796875,0.5,0.0,1.0
51,0,0.4104533438806324,0.5686274509803921,0.4296875,0.58984375,0.5,0.0,1.0
52,0,0.5386902497859262,0.5576923076923077,0.3681640625,0.5869140625,0.5,0.0,1.0
53,0,0.4489194862431127,0.5471698113207547,0.3203125,0.583984375,0.5,0.0,1.0
54,1,0.3819367815877588,0.5370370370370371,0.2802734375,0.5791015625,0.5,0.0,1.0
55,0,0.4971817771661345,0.5454545454545454,0.24609375,0.5732421875,0.5,0.0,1.0
56,0,0.5428331870530417,0.5357142857142857,0.333984375,0.5771484375,0.5,0.0,1.0
57,0,0.5066517222383168,0.5263157894736842,0.29296875,0.5712890625,0.5,0.0,1.0
58,0,0.5302471897739781,0.5172413793103449,0.2568359375,0.564453125,0.5,0.0,1.0
59,1,0.4365677906319036,0.5084745762711864,0.2265625,0.548828125,0.5,0.0,1.0
60,1,0.4637258834012862,0.5166666666666667,0.2001953125,0.5234375,0.5,0.0,1.0
61,1,0.4327539552224049,0.5245901639344263,0.291015625,0.53515625,0.5,0.0,1.0
62,1,0.4640446838459459,0.532258064516129,0.3740234375,0.5419921875,0.5,0.0,1.0
63,1,0.4186853717955546,0.5396825396825397,0.455078125,0.548828125,0.5,0.0,1.0
64,1,0.3273717397668323,0.546875,0.5361328125,0.5556640625,0.5,0.0,1.0
65,1,0.5177426142253753,0.5538461538461539,0.6162109375,0.5615234375,0.5,0.0,1.0
66,1,0.4598219063791738,0.5606060606060606,0.697265625,0.5654296875,0.5,0.0,1.0
67,0,0.3369801653033955,0.5671641791044776,0.7763671875,0.5693359375,0.5,0.0,1.0
68,1,0.5462782255525774,0.5588235294117647,0.8486328125,0.572265625,0.5,0.0,1.0
69,0,0.4092701635616758,0.5652173913043478,0.5888671875,0.568359375,0.5,0.0,1.0
70,0,0.5051945395796139,0.5571428571428572,0.6650390625,0.5712890625,0.5,0.0,1.0
71,0,0.5729090562177537,0.5492957746478874,0.5341796875,0.5673828125,0.5,0.0,1.0
72,1,0.512898291075741,0.5416666666666666,0.4541015625,0.5634765625,0.5,0.0,1.0
73,0,0.6139400684543301,0.547945205479452,0.3955078125,0.5595703125,0.5,0.0,1.0
74,0,0.3765174179646347,0.5405405405405406,0.46875,0.5625,0.5,0.0,1.0
75,1,0.5402341641177549,0.5333333333333333,0.4072265625,0.55859375,0.5,0.0,1.0
76,1,0.4315189909059687,0.5394736842105263,0.3583984375,0.5546875,0.5,0.0,1.0
77,0,0.4129202850818118,0.5454545454545454,0.431640625,0.5576171875,0.5,0.0,1.0
78,0,0.4421150335235584,0.5384615384615384,0.5029296875,0.560546875,0.5,0.0,1.0
79,1,0.4688447467872627,0.5316455696202531,0.4345703125,0.556640625,0.5,0.0,1.0
